id,language,title,abstract,description,first_claim,context,publication_number,country_code,publication_date,source
EP-4626234-A1_de,de,Beschichtetes stahlband mit antimikrobieller kupferschicht für lufttechnische anlagen,"Die Erfindung bezieht sich auf technische Anlagen und betrifft eine Beschichtung für ein Stahlband (1), ein beschichtetes Stahlband (1), ein Verfahren zur Herstellung der Beschichtung und eine lufttechnische Anlage umfassend die Beschichtung. Dabei ist vorgesehen, dass die Beschichtung eine Zinkschicht (2) zur Anordnung direkt auf der Oberfläche des Stahlbandes (1) und eine auf der Zinkschicht (2) angeordnete Kupferschicht (3) aufweist, wobei die Kupferschicht (3) Durchbrechungen aufweist. Die Zinkschicht (2) ist dabei nur teilweise von der Kupferschicht (3) bedeckt.",,,"Title: Beschichtetes stahlband mit antimikrobieller kupferschicht für lufttechnische anlagen

Abstract: Die Erfindung bezieht sich auf technische Anlagen und betrifft eine Beschichtung für ein Stahlband (1), ein beschichtetes Stahlband (1), ein Verfahren zur Herstellung der Beschichtung und eine lufttechnische Anlage umfassend die Beschichtung. Dabei ist vorgesehen, dass die Beschichtung eine Zinkschicht (2) zur Anordnung direkt auf der Oberfläche des Stahlbandes (1) und eine auf der Zinkschicht (2) angeordnete Kupferschicht (3) aufweist, wobei die Kupferschicht (3) Durchbrechungen aufweist. Die Zinkschicht (2) ist dabei nur teilweise von der Kupferschicht (3) bedeckt.",EP-4626234-A1,EP,20251008,google_patents
EP-4626234-A1_fr,fr,Bande d'acier revêtue avec couche de cuivre antimicrobienne pour systèmes de traitement de l'air,"L'invention concerne des systèmes techniques et concerne un revêtement pour une bande d'acier (1), une bande d'acier revêtue (1), un procédé de production du revêtement et un système de traitement d'air ayant le revêtement. Selon l'invention, le revêtement comprend une couche de zinc (2) destinée à être déposée directement sur la surface de la bande d'acier (1) et une couche de cuivre (3) déposée sur la couche de zinc (2), la couche de cuivre (3) présentant des ouvertures. La couche de zinc (2) n'est que partiellement recouverte par la couche de cuivre (3).",,,"Title: Bande d'acier revêtue avec couche de cuivre antimicrobienne pour systèmes de traitement de l'air

Abstract: L'invention concerne des systèmes techniques et concerne un revêtement pour une bande d'acier (1), une bande d'acier revêtue (1), un procédé de production du revêtement et un système de traitement d'air ayant le revêtement. Selon l'invention, le revêtement comprend une couche de zinc (2) destinée à être déposée directement sur la surface de la bande d'acier (1) et une couche de cuivre (3) déposée sur la couche de zinc (2), la couche de cuivre (3) présentant des ouvertures. La couche de zinc (2) n'est que partiellement recouverte par la couche de cuivre (3).",EP-4626234-A1,EP,20251008,google_patents
EP-4626383-A1_de,de,Haarfärbemittel mit bioaktivem glas,"Färbemittel, insbesondere Haarfärbemittel, enthalten häufig Ammoniak, der zu einem unangenehmen Geruch bei der Anwendung führt, sowie Haut, Haare und Lungen reizen kann. Bei bekannten Ammoniak-Alternativen ist die Färbeleistung oder die Haltbarkeit der Farbe häufig schwächer. Zur Lösung dieser Probleme wird ein Färbemittel vorgeschlagen, das ein Alkalisierungsmittel zum Öffnen der Schuppenschicht von Haaren und/oder zum Aufquellen von Haaren und/oder Haut umfasst, wobei das Alkalisierungsmittel Partikel aus bioaktivem Glas als Alkalisierungsmittel aufweist oder daraus besteht.",,,"Title: Haarfärbemittel mit bioaktivem glas

Abstract: Färbemittel, insbesondere Haarfärbemittel, enthalten häufig Ammoniak, der zu einem unangenehmen Geruch bei der Anwendung führt, sowie Haut, Haare und Lungen reizen kann. Bei bekannten Ammoniak-Alternativen ist die Färbeleistung oder die Haltbarkeit der Farbe häufig schwächer. Zur Lösung dieser Probleme wird ein Färbemittel vorgeschlagen, das ein Alkalisierungsmittel zum Öffnen der Schuppenschicht von Haaren und/oder zum Aufquellen von Haaren und/oder Haut umfasst, wobei das Alkalisierungsmittel Partikel aus bioaktivem Glas als Alkalisierungsmittel aufweist oder daraus besteht.",EP-4626383-A1,EP,20251008,google_patents
EP-4626383-A1_fr,fr,Colorant capillaire contenant du verre bioactif,"Les colorants, en particulier les colorants capillaires, contiennent fréquemment de l'ammoniac, ce qui conduit à une odeur désagréable pendant l'utilisation et peut irriter la peau, les cheveux et les poumons. Dans le cas d'alternatives connues à l'ammoniac, la performance de coloration ou la durabilité de la couleur est fréquemment plus faible. Ce problème est résolu en proposant un colorant qui comprend un agent alcalinisant pour ouvrir la couche de cuticule des cheveux et/ou pour gonfler les cheveux et/ou la peau, l'agent alcalinisant comprenant ou étant constitué de particules de verre bioactif en tant qu'agent alcalinisant.",,,"Title: Colorant capillaire contenant du verre bioactif

Abstract: Les colorants, en particulier les colorants capillaires, contiennent fréquemment de l'ammoniac, ce qui conduit à une odeur désagréable pendant l'utilisation et peut irriter la peau, les cheveux et les poumons. Dans le cas d'alternatives connues à l'ammoniac, la performance de coloration ou la durabilité de la couleur est fréquemment plus faible. Ce problème est résolu en proposant un colorant qui comprend un agent alcalinisant pour ouvrir la couche de cuticule des cheveux et/ou pour gonfler les cheveux et/ou la peau, l'agent alcalinisant comprenant ou étant constitué de particules de verre bioactif en tant qu'agent alcalinisant.",EP-4626383-A1,EP,20251008,google_patents
EP-4626392-A1_de,de,"Kosmetische zusammensetzung enhaltend einen alkohol, ein pflanzenöl, ein fettsäuremonoester, ein emulgator und einen pflanzeninhaltstoff.","Die Erfindung betrifft eine kosmetische Zusammensetzung im Wesentlichen auf pflanzlicher Basis, welche nahezu wasserfrei ist, und bei der topischen Verwendung auf der Haut, vorzugsweise trockene Haut, in Kontakt mit Wasser eine angenehme Wärme erzeugt, sodass die Hautporen erweitert werden und Pflanzeninhaltsstoffe vorteilhaft in die Haut penetrieren können. Weiterhin betrifft die Erfindung die Herstellung einer solchen kosmetischen Zusammensetzung und deren Verwendung, insbesondere als Reinigungsprodukt oder Rinse-off Produkt.",,,"Title: Kosmetische zusammensetzung enhaltend einen alkohol, ein pflanzenöl, ein fettsäuremonoester, ein emulgator und einen pflanzeninhaltstoff.

Abstract: Die Erfindung betrifft eine kosmetische Zusammensetzung im Wesentlichen auf pflanzlicher Basis, welche nahezu wasserfrei ist, und bei der topischen Verwendung auf der Haut, vorzugsweise trockene Haut, in Kontakt mit Wasser eine angenehme Wärme erzeugt, sodass die Hautporen erweitert werden und Pflanzeninhaltsstoffe vorteilhaft in die Haut penetrieren können. Weiterhin betrifft die Erfindung die Herstellung einer solchen kosmetischen Zusammensetzung und deren Verwendung, insbesondere als Reinigungsprodukt oder Rinse-off Produkt.",EP-4626392-A1,EP,20251008,google_patents
EP-4626392-A1_fr,fr,"Composition cosmétique comprenant un alcool, une huile végétale, un monoester d'acide gras, un émulsifiant et un ingrédient végétal.","L'invention concerne une composition cosmétique essentiellement à base végétale, qui est pratiquement anhydre et qui, lorsqu'elle est utilisée localement sur la peau, de préférence sur une peau sèche, produit une chaleur agréable au contact de l'eau, de sorte que les pores de la peau se dilatent et que les ingrédients végétaux puissent avantageusement pénétrer dans la peau. Cette invention concerne en outre la préparation d'une telle composition cosmétique et son utilisation, notamment comme produit de nettoyage ou de rinçage.",,,"Title: Composition cosmétique comprenant un alcool, une huile végétale, un monoester d'acide gras, un émulsifiant et un ingrédient végétal.

Abstract: L'invention concerne une composition cosmétique essentiellement à base végétale, qui est pratiquement anhydre et qui, lorsqu'elle est utilisée localement sur la peau, de préférence sur une peau sèche, produit une chaleur agréable au contact de l'eau, de sorte que les pores de la peau se dilatent et que les ingrédients végétaux puissent avantageusement pénétrer dans la peau. Cette invention concerne en outre la préparation d'une telle composition cosmétique et son utilisation, notamment comme produit de nettoyage ou de rinçage.",EP-4626392-A1,EP,20251008,google_patents
EP-4626569-A1_de,de,Verbessertes verfahren zur herstellung von alkalimetallmethanolaten,"Die vorliegende Erfindung betrifft ein Verfahren zur Herstellung mindestens eines Alkalimetallmethanolats durch Reaktivdestillation in mindestens einer Reaktionskolonne. Am unteren Ende der Reaktionskolonne(n) wird das jeweilige, in Methanol gelöste Alkalimetallmethanolat entnommen. Das am Kopf der Reaktionskolonne(n) erhaltene Methanol/Wasser-Gemisch wird in einer Rektifikationskolonne destillativ getrennt. Die am oberen Ende der Rektifikationskolonne erhaltenen Brüden werden in mindestens zwei Stufen verdichtet und die Energie der jeweils verdichteten Brüden vorteilhaft auf Sumpf- und Seitenstrom der Rektifikationskolonne übertragen. Dies ermöglicht den besonders effizienten Einsatz der Energie der verdichteten Brüden im erfindungsgemäßen Verfahren. Zusätzlich wird die Energie des am unteren Ende der Reaktionskolonne(n) erhaltenen Produktstroms von Alkalimetallmethanolat vorteilhaft auf die Brüdenströme aus der Rektifikationskolonne übertragen, insbesondere bevor diese Brüden einer Verdichtung unterworfen werden. Die Energie des verdichteten Brüdens kann zusätzlich zum Betrieb der Reaktionskolonne(n) eingesetzt werden oder zum Betrieb einer Reaktionskolonne, in welcher ein Verfahren zur Umalkoholisierung von Alkalimetallalkoholaten durchgeführt wird.",,,"Title: Verbessertes verfahren zur herstellung von alkalimetallmethanolaten

Abstract: Die vorliegende Erfindung betrifft ein Verfahren zur Herstellung mindestens eines Alkalimetallmethanolats durch Reaktivdestillation in mindestens einer Reaktionskolonne. Am unteren Ende der Reaktionskolonne(n) wird das jeweilige, in Methanol gelöste Alkalimetallmethanolat entnommen. Das am Kopf der Reaktionskolonne(n) erhaltene Methanol/Wasser-Gemisch wird in einer Rektifikationskolonne destillativ getrennt. Die am oberen Ende der Rektifikationskolonne erhaltenen Brüden werden in mindestens zwei Stufen verdichtet und die Energie der jeweils verdichteten Brüden vorteilhaft auf Sumpf- und Seitenstrom der Rektifikationskolonne übertragen. Dies ermöglicht den besonders effizienten Einsatz der Energie der verdichteten Brüden im erfindungsgemäßen Verfahren. Zusätzlich wird die Energie des am unteren Ende der Reaktionskolonne(n) erhaltenen Produktstroms von Alkalimetallmethanolat vorteilhaft auf die Brüdenströme aus der Rektifikationskolonne übertragen, insbesondere bevor diese Brüden einer Verdichtung unterworfen werden. Die Energie des verdichteten Brüdens kann zusätzlich zum Betrieb der Reaktionskolonne(n) eingesetzt werden oder zum Betrieb einer Reaktionskolonne, in welcher ein Verfahren zur Umalkoholisierung von Alkalimetallalkoholaten durchgeführt wird.",EP-4626569-A1,EP,20251008,google_patents
EP-4626569-A1_fr,fr,Procédé amelioré de production de méthoxydes de métaux alcalins,"L'invention concerne un procédé de production d'au moins un méthoxyde de métal alcalin par distillation réactive dans au moins une colonne de réaction. Au niveau de l'extrémité inférieure de la ou des colonnes de réaction, le méthoxyde de métal alcalin respectif dissous dans le méthanol est retiré. Le mélange méthanol/eau obtenu en tête de la ou des colonnes de réaction est séparé par distillation dans une colonne de rectification. Les vapeurs obtenues à l'extrémité supérieure de la colonne de rectification sont comprimées en au moins deux étapes, et l'énergie des vapeurs comprimées dans chaque cas est transférée de manière avantageuse vers les flux de fond et les flux latéraux de la colonne de rectification. Ceci permet une utilisation particulièrement efficace de l'énergie des vapeurs comprimées dans le procédé selon l'invention. De plus, l'énergie du flux de produit de méthoxyde de métal alcalin obtenu à l'extrémité inférieure de la ou des colonnes de réaction est avantageusement transférée aux flux de vapeur provenant de la colonne de rectification, en particulier avant que lesdites vapeurs ne soient soumises à un processus de compression. L'énergie provenant des vapeurs comprimées peut en outre être utilisée pour faire fonctionner la ou les colonnes de réaction ou une colonne de réaction dans laquelle un procédé de transalcoolisation d'alcoxydes de métal alcalin est effectué.",,,"Title: Procédé amelioré de production de méthoxydes de métaux alcalins

Abstract: L'invention concerne un procédé de production d'au moins un méthoxyde de métal alcalin par distillation réactive dans au moins une colonne de réaction. Au niveau de l'extrémité inférieure de la ou des colonnes de réaction, le méthoxyde de métal alcalin respectif dissous dans le méthanol est retiré. Le mélange méthanol/eau obtenu en tête de la ou des colonnes de réaction est séparé par distillation dans une colonne de rectification. Les vapeurs obtenues à l'extrémité supérieure de la colonne de rectification sont comprimées en au moins deux étapes, et l'énergie des vapeurs comprimées dans chaque cas est transférée de manière avantageuse vers les flux de fond et les flux latéraux de la colonne de rectification. Ceci permet une utilisation particulièrement efficace de l'énergie des vapeurs comprimées dans le procédé selon l'invention. De plus, l'énergie du flux de produit de méthoxyde de métal alcalin obtenu à l'extrémité inférieure de la ou des colonnes de réaction est avantageusement transférée aux flux de vapeur provenant de la colonne de rectification, en particulier avant que lesdites vapeurs ne soient soumises à un processus de compression. L'énergie provenant des vapeurs comprimées peut en outre être utilisée pour faire fonctionner la ou les colonnes de réaction ou une colonne de réaction dans laquelle un procédé de transalcoolisation d'alcoxydes de métal alcalin est effectué.",EP-4626569-A1,EP,20251008,google_patents
EP-4626570-A1_de,de,Energieeffizientes verfahren zur abtrennung von butenen aus c4-kohlenwasserstoffströmen,"Gegenstand der Erfindung ist ein Verfahren zur Abtrennung von Butenen aus C4-Kohlenwasserstoffströmen, die neben den Butenen auch Butane enthält, durch Extraktivdestillation mit einem geeigneten Lösemittel. Das erfindungsgemäße Verfahren zeichnet sich durch eine Wärmeintegration, mit der die Wärme des Lösemittels zur Erwärmung und/oder zumindest teilweiser Verdampfung verschiedener Ströme genutzt wird, und den Einsatz einer Wärmepumpe zur Elektrifizierung des Prozesses.",,,"Title: Energieeffizientes verfahren zur abtrennung von butenen aus c4-kohlenwasserstoffströmen

Abstract: Gegenstand der Erfindung ist ein Verfahren zur Abtrennung von Butenen aus C4-Kohlenwasserstoffströmen, die neben den Butenen auch Butane enthält, durch Extraktivdestillation mit einem geeigneten Lösemittel. Das erfindungsgemäße Verfahren zeichnet sich durch eine Wärmeintegration, mit der die Wärme des Lösemittels zur Erwärmung und/oder zumindest teilweiser Verdampfung verschiedener Ströme genutzt wird, und den Einsatz einer Wärmepumpe zur Elektrifizierung des Prozesses.",EP-4626570-A1,EP,20251008,google_patents
EP-4626570-A1_fr,fr,Procédé énergétiquement efficace pour séparer des butènes de courants d'hydrocarbures en c4,"L'invention concerne un procédé de séparation de butènes à partir de flux d'hydrocarbures en C4 contenant des butanes ainsi que des butènes au moyen d'une distillation extractive avec un solvant approprié. Le procédé selon l'invention est caractérisé par une intégration thermique qui permet d'utiliser la chaleur du solvant pour le chauffage et/ou l'évaporation au moins partielle de différents courants, et par l'utilisation d'une pompe à chaleur pour l'électrification du procédé.",,,"Title: Procédé énergétiquement efficace pour séparer des butènes de courants d'hydrocarbures en c4

Abstract: L'invention concerne un procédé de séparation de butènes à partir de flux d'hydrocarbures en C4 contenant des butanes ainsi que des butènes au moyen d'une distillation extractive avec un solvant approprié. Le procédé selon l'invention est caractérisé par une intégration thermique qui permet d'utiliser la chaleur du solvant pour le chauffage et/ou l'évaporation au moins partielle de différents courants, et par l'utilisation d'une pompe à chaleur pour l'électrification du procédé.",EP-4626570-A1,EP,20251008,google_patents
